post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility,attribute:pa_alto,attribute_data:pa_alto,attribute:pa_ancho,attribute_data:pa_ancho,attribute:pa_aro,attribute_data:pa_aro,attribute:pa_indice-de-carga,attribute_data:pa_indice-de-carga,attribute:pa_velocidad-maxima,attribute_data:pa_velocidad-maxima
"ONYX 265/65/17 112T AT187",,,3318,,"REvisar imagen referencial",Borrador,,0,"2026-04-20 15:47:26",1,closed,501751,,,no,no,0,137000,120000,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-ONYX-265-70-17R-AT-NY187.jpg ! alt :  ! title : neumáticos-freire-ONYX-265-70-17R-AT-NY187 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3318,0,,,simple,outofstock,"Aro > 17|Ancho > 265|Alto > 65|Marca > ONYX",ONYX,,,,,,,,,,,,
"YOMAR TIRE 215/65/17 99V SKYRACE P05",,,3319,,"Revisar imagen refrencial

producto sin precio porque se venderá pronto",Borrador,,0,"2026-04-20 16:21:41",1,closed,643,,,no,no,0,,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/08/neumaticos-freire-LING-LONG-215-65-17R-CROSSWIND-HP.jpg ! alt :  ! title : neumáticos-freire-LING-LONG-215-65-17R-CROSSWIND-HP ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3319,0,,,simple,outofstock,"Aro > 17|Ancho > 215|Alto > 65|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"KUMHO 215/65/17C KC53 6PR",,,3320,,"revisar imagen referncial",Borrador,,0,"2026-04-20 16:21:26",1,closed,504329,,,no,no,8,192000,170000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/08/neumaticos-freire-KUMHO-215-65-16R-KL33.jpg ! alt :  ! title : neumáticos-freire-KUMHO-215-65-16R-KL33 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3320,0,,,simple,,"Aro > 17|Ancho > 215|Alto > 65|Marca > KUMHO",KUMHO,,,,,,,,,,,,
"MINNELL 215/55/17 98W SAFY M06",,,3321,,"Revisar imagen de refercnia",Borrador,,0,"2026-04-20 16:24:10",1,closed,,,,no,no,0,91000,77000,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2025/03/neumaticos-freire-minnell-215-55-r17-98w-safy-m06-huella.jpg ! alt : neumaticos-freire-minnell-215-55-r17-98w-safy-m06-huella ! title : neumaticos-freire-minnell-215-55-r17-98w-safy-m06-huella ! desc :  ! caption : neumaticos-freire-minnell-215-55-r17-98w-safy-m06-huella",,https://neumaticosfreire.cl/?post_type=product&p=3321,0,,,simple,outofstock,"Aro > 17|Ancho > 215|Alto > 55|Marca > MINNELL",MINNELL,,,,,,,,,,,,
"YOMAR TIRE 205/45/17 88W SKYRACE P06",,,3322,,"revisar imagen e icono porque no se logra encontrar",Borrador,,0,"2026-04-20 16:31:21",1,closed,670,,,no,no,0,,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/08/neumaticos-freire-WINDFORCE-205-45-17R-CATCHFORS-H-P.jpg ! alt :  ! title : neumáticos-freire-WINDFORCE-205-45-17R-CATCHFORS-H-P ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3322,0,,,simple,outofstock,"Aro > 17|Ancho > 205|Alto > 45|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 205/40/17 84W XL SKYRACE P06",,,3323,,"revisar imagenes de referencia",Borrador,,0,"2026-04-20 16:31:56",1,closed,642,,,no,no,0,,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/08/MAXXIS-205-40-17R-MAZ3.jpg ! alt :  ! title : MAXXIS-205-40-17R-MAZ3 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3323,0,,,simple,outofstock,"Aro > 17|Ancho > 205|Alto > 40|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"MINNELL 265/60/18 110H GIANTIRE AT88",,,3324,,,Borrador,,0,"2026-04-20 14:26:03",1,closed,504536,,,no,no,0,142000,125000,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-WEST-LAKE-265-60-18R-SL369-1.jpg ! alt :  ! title : neumáticos-freire-WEST-LAKE-265-60-18R-SL369-1 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3324,0,,,simple,outofstock,"Aro > 18|Ancho > 265|Alto > 60|Marca > MINNELL",MINNELL,,,,,,,,,,,,
"YOMAR TIRE 265/60/18 110H AT SKYRACE AT08",,,3325,,,Borrador,,0,"2026-04-22 12:29:03",1,closed,631,,,no,no,8,142000,125000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-KUMHO-265-60-18R-KL21.png ! alt :  ! title : neumáticos-freire-KUMHO-265-60-18R-KL21. ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3325,0,,,simple,,"Aro > 18|Ancho > 265|Alto > 60|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 245/60/18 105V SKYRACE P05",,,3326,,"revisar imagen
",Borrador,,0,"2026-04-20 14:27:05",1,closed,690,,,no,no,4,127000,112000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-WEST-LAKE-245-60-18R-SU318-1-1.jpg ! alt :  ! title : neumáticos-freire-WEST-LAKE-245-60-18R-SU318-1 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3326,0,,,simple,,"Aro > 18|Ancho > 245|Alto > 60|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 245/40/18 97W SKYRACE P06",,,3327,"REvisa imagen referencil",,Borrador,,0,"2026-04-20 14:28:27",1,closed,675,,,no,no,0,,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-LING-LONG-245-40-18R-CROSSWIND-HT.jpg ! alt :  ! title : neumáticos-freire-LING-LONG-245-40-18R-CROSSWIND-HT ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3327,0,,,simple,outofstock,"Aro > 18|Ancho > 245|Alto > 40|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"MINNELL 235/60/18 107V SAFY M06",,,3328,"revisar imagen referencial",,Borrador,,0,"2026-04-20 14:39:46",1,closed,,,,no,no,1,112000,94000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-APLUS-235-60-18R-A919.jpg ! alt :  ! title : neumáticos-freire-APLUS-235-60-18R-A919 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3328,0,,,simple,,"Aro > 18|Ancho > 235|Alto > 60|Marca > MINNELL",MINNELL,,,,,,,,,,,,
"YOMAR TIRE 235/60/18 107V XL SKYRACE",,,3329,"Revsiar imegen",,Borrador,,0,"2026-04-20 14:39:04",1,closed,628,,,no,no,8,112000,95000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-APLUS-235-60-18R-A919.jpg ! alt :  ! title : neumáticos-freire-APLUS-235-60-18R-A919 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3329,0,,,simple,,"Aro > 18|Ancho > 235|Alto > 60|Marca > MINNELL",MINNELL,,,,,,,,,,,,
"YOMAR TIRE 235/55/18 104W XL SKYRACE",,,3330,,,Borrador,,0,"2026-04-20 14:31:39",1,closed,693,,,no,no,8,117000,99000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-WINDFORCE-235-55-18R-CATCHFORS.jpg ! alt :  ! title : neumáticos-freire-WINDFORCE-235-55-18R-CATCHFORS ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3330,0,,,simple,,"Aro > 18|Ancho > 235|Alto > 55",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 225/60/18 104V XL SKYRACE P03",,,3331,"cambiar imagen",,Borrador,,0,"2026-04-20 14:32:28",1,closed,645,,,no,no,8,102000,85000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/08/neumaticos-freire-APLUS-225-60-18R-A919.jpg ! alt :  ! title : neumáticos-freire-APLUS-225-60-18R-A919 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3331,0,,,simple,,"Aro > 18|Ancho > 225|Alto > 60|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 225/55/18 102W XL SKYRACE",,,3333,"Cambiar imagen",,Borrador,,0,"2026-04-20 14:33:12",1,closed,625,,,no,no,8,107000,90000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2024/07/neumaticos-freire-225-55-18-A610-102W-APLUS-A610.jpg ! alt : neumaticos-freire-225-55-18-A610-102W-APLUS-A610 ! title : neumaticos-freire-225-55-18-A610-102W-APLUS-A610 ! desc : neumaticos-freire-225-55-18-A610-102W-APLUS-A610 ! caption : neumaticos-freire-225-55-18-A610-102W-APLUS-A610",,https://neumaticosfreire.cl/?post_type=product&p=3333,0,,,simple,,"Aro > 18|Ancho > 225|Alto > 55|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 215/55/18 99W XL SKYRACE P03",,,3334,"Revisa imagen referencial",,Borrador,,0,"2026-04-20 14:33:46",1,closed,691,,,no,no,6,105000,85000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/08/neumaticos-freire-NEXEN-215-55-18R-N-PRIZ-AH8.jpg ! alt :  ! title : neumáticos-freire-NEXEN-215-55-18R-N-PRIZ-AH8 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3334,0,,,simple,,"Aro > 18|Ancho > 215|Alto > 55|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 255/55/19 111W SKYRACE P06",,,3336,"Revisar imagen referencial","Sin stock pero se venderá pronto",Borrador,,0,"2026-04-20 11:55:44",1,closed,714,,,no,no,0,,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-GOODRIDE-255-55-19R-SU318.jpg ! alt :  ! title : neumáticos-freire-GOODRIDE-255-55-19R-SU318 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3336,0,,,simple,outofstock,"Aro > 19|Ancho > 255|Alto > 55|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 245/45/19 102W SKYRACE P06",,,3337,"Revisar imagen referencial","Sin stock pero se venderá pronto",Borrador,,0,"2026-04-20 10:47:30",1,closed,711,,,no,no,4,127000,115000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-GOODRIDE-255-55-19R-SU318.jpg ! alt :  ! title : neumáticos-freire-GOODRIDE-255-55-19R-SU318 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3337,0,,,simple,,"Aro > 19|Ancho > 255|Alto > 45|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 235/55/19 105W SKYRACE P06",,,3338,"Revisar imagen referencial","Sin stock pero se venderá pronto",Borrador,,0,"2026-04-20 10:54:37",1,closed,648,,,no,no,0,,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-GOODRIDE-255-55-19R-SU318.jpg ! alt :  ! title : neumáticos-freire-GOODRIDE-255-55-19R-SU318 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3338,0,,,simple,outofstock,"Aro > 19|Ancho > 235|Alto > 55|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 235/50/19 103W SKYRACE P06",,,3339,"Revisar imagen referencial","Sin stock pero se venderá pronto",Borrador,,0,"2026-04-20 10:55:42",1,closed,710,,,no,no,2,127000,115000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-GOODRIDE-255-55-19R-SU318.jpg ! alt :  ! title : neumáticos-freire-GOODRIDE-255-55-19R-SU318 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3339,0,,,simple,,"Aro > 19|Ancho > 235|Alto > 50|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 235/45/19 99W SKYRACE P06",,,3340,"Revisar imagen referencial","Sin stock pero se venderá pronto",Borrador,,0,"2026-04-20 10:57:30",1,closed,647,,,no,no,,,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-GOODRIDE-255-55-19R-SU318.jpg ! alt :  ! title : neumáticos-freire-GOODRIDE-255-55-19R-SU318 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3340,0,,,simple,outofstock,"Aro > 19|Ancho > 235|Alto > 45|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 225/55/19 99V SKYRACE P06",,,3341,"Revisar imagen referencial","Sin stock pero se venderá pronto",Borrador,,0,"2026-04-20 10:58:58",1,closed,672,,,no,no,4,123000,105000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-GOODRIDE-255-55-19R-SU318.jpg ! alt :  ! title : neumáticos-freire-GOODRIDE-255-55-19R-SU318 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3341,0,,,simple,,"Aro > 19|Ancho > 225|Alto > 55|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 225/45/19 96W SKYRACE P06",,,3342,"Revisar imagen referencial","Sin stock pero se venderá pronto",Borrador,,0,"2026-04-20 11:00:17",1,closed,709,,,no,no,0,,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-GOODRIDE-255-55-19R-SU318.jpg ! alt :  ! title : neumáticos-freire-GOODRIDE-255-55-19R-SU318 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3342,0,,,simple,outofstock,"Aro > 19|Ancho > 225|Alto > 45|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"MINNELL 275/55/20 117W SAFY M06",,,3344,"Revisar imagen referencial","se venderá pronto",Borrador,,0,"2026-04-20 11:51:48",1,closed,718,,,no,no,0,,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-WEST-LAKE-275-55-20R-SL369.jpg ! alt :  ! title : neumáticos-freire-WEST-LAKE-275-55-20R-SL369 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3344,0,,,simple,outofstock,"Aro > 20|Ancho > 275|Alto > 55|Marca > MINNELL",MINNELL,,,,,,,,,,,,
"YOMAR TIRE 275/50/20 113W SKYRACE P06",,,3345,"Revisar imagen referencial","se venderá pronto",Borrador,,0,"2026-04-20 11:24:46",1,closed,717,,,no,no,4,215000,180000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-WEST-LAKE-275-55-20R-SL369.jpg ! alt :  ! title : neumáticos-freire-WEST-LAKE-275-55-20R-SL369 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3345,0,,,simple,,"Aro > 20|Ancho > 275|Alto > 50|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 275/45/20 110W SKYRACE P06",,,3346,"Revisar imagen referencial","se venderá pronto",Borrador,,0,"2026-04-20 11:28:38",1,closed,716,,,no,no,4,166000,149000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-WEST-LAKE-275-55-20R-SL369.jpg ! alt :  ! title : neumáticos-freire-WEST-LAKE-275-55-20R-SL369 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3346,0,,,simple,,"Aro > 20|Ancho > 275|Alto > 45|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 265/50/20 107W SKYRACE P06",,,3347,"Revisar imagen referencial","se venderá pronto",Borrador,,0,"2026-04-20 11:30:14",1,closed,715,,,no,no,4,221000,190000,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-WEST-LAKE-275-55-20R-SL369.jpg ! alt :  ! title : neumáticos-freire-WEST-LAKE-275-55-20R-SL369 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3347,0,,,simple,,"Aro > 20|Ancho > 265|Alto > 50|Marca > YOMAR",YOMAR,,,,,,,,,,,,
"YOMAR TIRE 255/55/20 110W SKYRACE P06",,,3348,"Revisar imagen referencial","se venderá pronto",Borrador,,0,"2026-04-20 11:32:10",1,closed,650,,,no,no,0,,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://neumaticosfreire.cl/wp-content/uploads/2023/09/neumaticos-freire-WEST-LAKE-275-55-20R-SL369.jpg ! alt :  ! title : neumáticos-freire-WEST-LAKE-275-55-20R-SL369 ! desc :  ! caption : ",,https://neumaticosfreire.cl/?post_type=product&p=3348,0,,,simple,outofstock,"Aro > 20|Ancho > 255|Alto > 55|Marca > YOMAR",YOMAR,,,,,,,,,,,,
